Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,28,Production,2,(1000 60 KG BAGS),28900.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),7.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),6706.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),35.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,114,Soluble Exports,2,(1000 60 KG BAGS),1.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,178,Total Distribution,2,(1000 60 KG BAGS),96074.0
0711100,"Coffee, Green",BR,Brazil,1962,1962,0,86,Total Supply,2,(1000 60 KG BAGS),96074.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,29,Arabica Production,2,(1000 60 KG BAGS),23200.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,90,Bean Exports,2,(1000 60 KG BAGS),18860.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,20,Beginning Stocks,2,(1000 60 KG BAGS),72461.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,125,Domestic Consumption,2,(1000 60 KG BAGS),9520.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,176,Ending Stocks,2,(1000 60 KG BAGS),67272.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,88,Exports,2,(1000 60 KG BAGS),18869.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,28,Production,2,(1000 60 KG BAGS),23200.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),7.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),9480.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),40.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,114,Soluble Exports,2,(1000 60 KG BAGS),2.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,178,Total Distribution,2,(1000 60 KG BAGS),95661.0
0711100,"Coffee, Green",BR,Brazil,1963,1963,0,86,Total Supply,2,(1000 60 KG BAGS),95661.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,29,Arabica Production,2,(1000 60 KG BAGS),11000.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,90,Bean Exports,2,(1000 60 KG BAGS),12409.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,20,Beginning Stocks,2,(1000 60 KG BAGS),67272.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8131.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,176,Ending Stocks,2,(1000 60 KG BAGS),57723.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,88,Exports,2,(1000 60 KG BAGS),12418.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,28,Production,2,(1000 60 KG BAGS),11000.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),1.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8086.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),45.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,114,Soluble Exports,2,(1000 60 KG BAGS),8.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,178,Total Distribution,2,(1000 60 KG BAGS),78272.0
0711100,"Coffee, Green",BR,Brazil,1964,1964,0,86,Total Supply,2,(1000 60 KG BAGS),78272.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,29,Arabica Production,2,(1000 60 KG BAGS),37700.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,90,Bean Exports,2,(1000 60 KG BAGS),16411.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,20,Beginning Stocks,2,(1000 60 KG BAGS),57723.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8100.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,176,Ending Stocks,2,(1000 60 KG BAGS),70802.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,88,Exports,2,(1000 60 KG BAGS),16521.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,28,Production,2,(1000 60 KG BAGS),37700.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),3.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8050.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),50.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,114,Soluble Exports,2,(1000 60 KG BAGS),107.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,178,Total Distribution,2,(1000 60 KG BAGS),95423.0
0711100,"Coffee, Green",BR,Brazil,1965,1965,0,86,Total Supply,2,(1000 60 KG BAGS),95423.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,29,Arabica Production,2,(1000 60 KG BAGS),21000.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,90,Bean Exports,2,(1000 60 KG BAGS),16023.0
0711100,"Coffee, Green",BR,Brazil,1966,1966,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
